"cityNameUa","cityNameRu","oblastNameRu","oblastNameUa"
"Авдіївка","Авдеевка","Донецкая","Донецька"
"Алмазна","Алмазная","Луганская","Луганська"
"Алупка","Алупка","AР Крым","AР Крим"
"Алушта","Алушта","AР Крым","AР Крим"
"Алчевськ","Алчевск","Луганская","Луганська"
"Амвросіївка","Амвросиевка","Донецкая","Донецька"
"Ананьїв","Ананьев","Одесская","Одеська"
"Андрушівка","Андрушёвка","Житомирская","Житомирська"
"Антрацит","Антрацит","Луганская","Луганська"
"Апостолове","Апостолово","Днепропетровская","Дніпропетровська"
"Армянськ","Армянск","AР Крым","AР Крим"
"Арциз","Арциз","Одесская","Одеська"
"Балаклія","Балаклея","Харьковская","Харківська"
"Балта","Балта","Одесская","Одеська"
"Бар","Бар","Винницкая","Вінницька"
"Баранівка","Барановка","Житомирская","Житомирська"
"Барвінкове","Барвенково","Харьковская","Харківська"
"Батурин","Батурин","Черниговская","Чернігівська"
"Бахмач","Бахмач","Черниговская","Чернігівська"
"Бахмут","Бахмут","Донецкая","Донецька"
"Бахчисарай","Бахчисарай","AР Крым","AР Крим"
"Баштанка","Баштанка","Николаевская","Миколаївська"
"Белз","Белз","Львовская","Львівська"
"Бердичів","Бердичев","Житомирская","Житомирська"
"Бердянськ","Бердянск","Запорожская","Запорізька"
"Берегове","Берегово","Закарпатская","Закарпатська"
"Бережани","Бережаны","Тернопольская","Тернопільська"
"Березань","Березань","Киевская","Київська"
"Березівка","Березовка","Одесская","Одеська"
"Березне","Березно","Ровненская","Рівненська"
"Берестечко","Берестечко","Волынская","Волинська"
"Берислав","Берислав","Херсонская","Херсонська"
"Бершадь","Бершадь","Винницкая","Вінницька"
"Бібрка","Бобрка","Львовская","Львівська"
"Біла Церква","Белая Церковь","Киевская","Київська"
"Білгород-Дністровський","Белгород-Днестровский","Одесская","Одеська"
"Білицьке","Белицкое","Донецкая","Донецька"
"Білогірськ","Белогорск","AР Крым","AР Крим"
"Білозерське","Белозёрское","Донецкая","Донецька"
"Білопілля","Белополье","Сумская","Сумська"
"Біляївка","Беляевка","Одесская","Одеська"
"Благовіщенське","Благовещенское","Кировоградская","Кіровоградська"
"Бобринець","Бобринец","Кировоградская","Кіровоградська"
"Бобровиця","Бобровица","Черниговская","Чернігівська"
"Богодухів","Богодухов","Харьковская","Харківська"
"Богуслав","Богуслав","Киевская","Київська"
"Боково-Хрустальне","Боково-Хрустальное","Луганская","Луганська"
"Болград","Болград","Одесская","Одеська"
"Болехів","Болехов","Ивано-Франковская","Івано-Франківська"
"Борзна","Борзна","Черниговская","Чернігівська"
"Борислав","Борислав","Львовская","Львівська"
"Бориспіль","Борисполь","Киевская","Київська"
"Борщів","Борщёв","Тернопольская","Тернопільська"
"Боярка","Боярка","Киевская","Київська"
"Бровари","Бровары","Киевская","Київська"
"Броди","Броды","Львовская","Львівська"
"Брянка","Брянка","Луганская","Луганська"
"Бунге","Бунге","Донецкая","Донецька"
"Буринь","Бурынь","Сумская","Сумська"
"Бурштин","Бурштын","Ивано-Франковская","Івано-Франківська"
"Буськ","Буск","Львовская","Львівська"
"Буча","Буча","Киевская","Київська"
"Бучач","Бучач","Тернопольская","Тернопільська"
"Валки","Валки","Харьковская","Харківська"
"Вараш","Вараш","Ровненская","Рівненська"
"Василівка","Васильевка","Запорожская","Запорізька"
"Васильків","Васильков","Киевская","Київська"
"Ватутіне","Ватутино","Черкасская","Черкаська"
"Вашківці","Вашковцы","Черновицкая","Чернівецька"
"Великі Мости","Великие Мосты","Львовская","Львівська"
"Верхівцеве","Верховцево","Днепропетровская","Дніпропетровська"
"Верхньодніпровськ","Верхнеднепровск","Днепропетровская","Дніпропетровська"
"Вижниця","Вижница","Черновицкая","Чернівецька"
"Вилкове","Вилково","Одесская","Одеська"
"Винники","Винники","Львовская","Львівська"
"Виноградів","Виноградов","Закарпатская","Закарпатська"
"Вишгород","Вышгород","Киевская","Київська"
"Вишневе","Вишнёвое","Киевская","Київська"
"Вільногірськ","Вольногорск","Днепропетровская","Дніпропетровська"
"Вільнянськ","Вольнянск","Запорожская","Запорізька"
"Вінниця","Винница","Винницкая","Вінницька"
"Вовчанськ","Волчанск","Харьковская","Харківська"
"Вознесенівка","Вознесеновка","Луганская","Луганська"
"Вознесенськ","Вознесенск","Николаевская","Миколаївська"
"Волноваха","Волноваха","Донецкая","Донецька"
"Володимир-Волинський","Владимир-Волынский","Волынская","Волинська"
"Волочиськ","Волочиск","Хмельницкая","Хмельницька"
"Ворожба","Ворожба","Сумская","Сумська"
"Вуглегірськ","Углегорск","Донецкая","Донецька"
"Вугледар","Угледар","Донецкая","Донецька"
"Гадяч","Гадяч","Полтавская","Полтавська"
"Гайворон","Гайворон","Кировоградская","Кіровоградська"
"Гайсин","Гайсин","Винницкая","Вінницька"
"Галич","Галич","Ивано-Франковская","Івано-Франківська"
"Генічеськ","Геническ","Херсонская","Херсонська"
"Герца","Герца","Черновицкая","Чернівецька"
"Гірник","Горняк","Донецкая","Донецька"
"Гірське","Горское","Луганская","Луганська"
"Глиняни","Глиняны","Львовская","Львівська"
"Глобине","Глобино","Полтавская","Полтавська"
"Глухів","Глухов","Сумская","Сумська"
"Гнівань","Гнивань","Винницкая","Вінницька"
"Гола Пристань","Голая Пристань","Херсонская","Херсонська"
"Голубівка","Голубовка","Луганская","Луганська"
"Горішні Плавні","Горишние Плавни","Полтавская","Полтавська"
"Горлівка","Горловка","Донецкая","Донецька"
"Городенка","Городенка","Ивано-Франковская","Івано-Франківська"
"Городище","Городище","Черкасская","Черкаська"
"Городня","Городня","Черниговская","Чернігівська"
"Городок","Городок","Львовская","Львівська"
"Городок","Городок","Львовская","Хмельницька"
"Горохів","Горохов","Волынская","Волинська"
"Гребінка","Гребёнка","Полтавская","Полтавська"
"Гуляйполе","Гуляйполе","Запорожская","Запорізька"
"Дебальцеве","Дебальцево","Донецкая","Донецька"
"Деражня","Деражня","Хмельницкая","Хмельницька"
"Дергачі","Дергачи","Харьковская","Харківська"
"Джанкой","Джанкой","AР Крым","AР Крим"
"Дніпро","Днепр","Днепропетровская","Дніпропетровська"
"Дніпрорудне","Днепрорудное","Запорожская","Запорізька"
"Добромиль","Добромиль","Львовская","Львівська"
"Добропілля","Доброполье","Донецкая","Донецька"
"Довжанськ","Должанск","Луганская","Луганська"
"Докучаєвськ","Докучаевск","Донецкая","Донецька"
"Долина","Долина","Ивано-Франковская","Івано-Франківська"
"Долинська","Долинская","Кировоградская","Кіровоградська"
"Донецьк","Донецк","Донецкая","Донецька"
"Дрогобич","Дрогобыч","Львовская","Львівська"
"Дружба","Дружба","Сумская","Сумська"
"Дружківка","Дружковка","Донецкая","Донецька"
"Дубляни","Дубляны","Львовская","Львівська"
"Дубно","Дубно","Ровненская","Рівненська"
"Дубровиця","Дубровица","Ровненская","Рівненська"
"Дунаївці","Дунаевцы","Хмельницкая","Хмельницька"
"Енергодар","Энергодар","Запорожская","Запорізька"
"Євпаторія","Евпатория","AР Крым","AР Крим"
"Єнакієве","Енакиево","Донецкая","Донецька"
"Жашків","Жашков","Черкасская","Черкаська"
"Жданівка","Ждановка","Донецкая","Донецька"
"Жидачів","Жидачов","Львовская","Львівська"
"Житомир","Житомир","Житомирская","Житомирська"
"Жмеринка","Жмеринка","Винницкая","Вінницька"
"Жовква","Жолква","Львовская","Львівська"
"Жовті Води","Жёлтые Воды","Днепропетровская","Дніпропетровська"
"Заводське","Заводское","Полтавская","Полтавська"
"Залізне","Железное","Донецкая","Донецька"
"Заліщики","Залещики","Тернопольская","Тернопільська"
"Запоріжжя","Запорожье","Запорожская","Запорізька"
"Заставна","Заставна","Черновицкая","Чернівецька"
"Збараж","Збараж","Тернопольская","Тернопільська"
"Зборів","Зборов","Тернопольская","Тернопільська"
"Звенигородка","Звенигородка","Черкасская","Черкаська"
"Здолбунів","Здолбунов","Ровненская","Рівненська"
"Зеленодольськ","Зеленодольск","Днепропетровская","Дніпропетровська"
"Зимогір'я",,,"Луганська"
"Зіньків","Зеньков","Полтавская","Полтавська"
"Зміїв","Змиёв","Харьковская","Харківська"
"Знам'янка",,,"Кіровоградська"
"Золоте","Золотое","Луганская","Луганська"
"Золотоноша","Золотоноша","Черкасская","Черкаська"
"Золочів","Золочев","Львовская","Львівська"
"Зоринськ","Зоринск","Луганская","Луганська"
"Зугрес","Зугрэс","Донецкая","Донецька"
"Івано-Франківськ","Ивано-Франковск","Ивано-Франковская","Івано-Франківська"
"Ізмаїл","Измаил","Одесская","Одеська"
"Ізюм","Изюм","Харьковская","Харківська"
"Ізяслав","Изяслав","Хмельницкая","Хмельницька"
"Іллінці","Ильинцы","Винницкая","Вінницька"
"Іловайськ","Иловайск","Донецкая","Донецька"
"Інкерман","Инкерман","Севастополь","Севастополь"
"Ірміно","Ирмино","Луганская","Луганська"
"Ірпінь","Ирпень","Киевская","Київська"
"Іршава","Иршава","Закарпатская","Закарпатська"
"Ічня","Ичня","Черниговская","Чернігівська"
"Кагарлик","Кагарлык","Киевская","Київська"
"Кадіївка","Кадиевка","Луганская","Луганська"
"Калинівка","Калиновка","Винницкая","Вінницька"
"Калуш","Калуш","Ивано-Франковская","Івано-Франківська"
"Кальміуське","укр.","Донецкая","Донецька"
"Камінь-Каширський","Камень-Каширский","Волынская","Волинська"
"Кам'янець-Подільський",,,"Хмельницька"
"Кам'янка",,,"Черкаська"
"Кам'янка-Бузька",,,"Львівська"
"Кам'янка-Дніпровська",,,"Запорізька"
"Кам'янське",,,"Дніпропетровська"
"Канів","Канев","Черкасская","Черкаська"
"Карлівка","Карловка","Полтавская","Полтавська"
"Каховка","Каховка","Херсонская","Херсонська"
"Керч","Керчь","AР Крым","AР Крим"
"Київ","Киев","Киев","Київ"
"Кипуче","Кипучее","Луганская","Луганська"
"Ківерці","Киверцы","Волынская","Волинська"
"Кілія","Килия","Одесская","Одеська"
"Кіцмань","Кицмань","Черновицкая","Чернівецька"
"Кобеляки","Кобеляки","Хмельницкая","Полтавська"
"Ковель","Ковель","Волынская","Волинська"
"Кодима","Кодыма","Одесская","Одеська"
"Козятин","Казатин","Винницкая","Вінницька"
"Коломия","Коломыя","Ивано-Франковская","Івано-Франківська"
"Комарно","Комарно","Львовская","Львівська"
"Конотоп","Конотоп","Сумская","Сумська"
"Копичинці","Копычинцы","Тернопольская","Тернопільська"
"Корець","Корец","Ровненская","Рівненська"
"Коростень","Коростень","Житомирская","Житомирська"
"Коростишів","Коростышев","Житомирская","Житомирська"
"Корсунь-Шевченківський","Корсунь-Шевченковский","Черкасская","Черкаська"
"Корюківка","Корюковка","Черниговская","Чернігівська"
"Косів","Косов","Ивано-Франковская","Івано-Франківська"
"Костопіль","Костополь","Ровненская","Рівненська"
"Костянтинівка","Константиновка","Донецкая","Донецька"
"Краматорськ","Краматорск","Донецкая","Донецька"
"Красилів","Красилов","Хмельницкая","Хмельницька"
"Красногорівка","Красногоровка","Донецкая","Донецька"
"Красноград","Красноград","Харьковская","Харківська"
"Красноперекопськ (Яни Капу)",,,"AР Крим"
"Кременець","Кременец","Тернопольская","Тернопільська"
"Кременчук","Кременчуг","Полтавская","Полтавська"
"Кремінна","Кременная","Луганская","Луганська"
"Кривий Ріг","Кривой Рог","Днепропетровская","Дніпропетровська"
"Кролевець","Кролевец","Сумская","Сумська"
"Кропивницький","Кропивницкий","Кировоградская","Кіровоградська"
"Куп'янськ",,,"Харківська"
"Курахове","Курахово","Донецкая","Донецька"
"Ладижин","Ладыжин","Винницкая","Вінницька"
"Ланівці","Лановцы","Тернопольская","Тернопільська"
"Лебедин","Лебедин","Сумская","Сумська"
"Лиман","Лиман","Донецкая","Донецька"
"Липовець","Липовец","Винницкая","Вінницька"
"Лисичанськ","Лисичанск","Луганская","Луганська"
"Лозова","Лозовая","Харьковская","Харківська"
"Лохвиця","Лохвица","Полтавская","Полтавська"
"Лубни","Лубны","Полтавская","Полтавська"
"Луганськ","Луганск","Луганская","Луганська"
"Лутугине","Лутугино","Луганская","Луганська"
"Луцьк","Луцк","Волынская","Волинська"
"Львів","Львов","Львовская","Львівська"
"Любомль","Любомль","Волынская","Волинська"
"Люботин","Люботин","Харьковская","Харківська"
"Макіївка","Макеевка","Донецкая","Донецька"
"Мала Виска","Малая Виска","Кировоградская","Кіровоградська"
"Малин","Малин","Житомирская","Житомирська"
"Марганець","Марганец","Днепропетровская","Дніпропетровська"
"Маріуполь","Мариуполь","Донецкая","Донецька"
"Мар'їнка","Марьинка","Донецкая","Донецька"
"Мелітополь","Мелитополь","Запорожская","Запорізька"
"Мена","Мена","Черниговская","Чернігівська"
"Мерефа","Мерефа","Харьковская","Харківська"
"Миколаїв","Николаев","Львовская","Львівська"
"Миколаїв","Николаев","Львовская","Миколаївська"
"Миколаївка","Николаевка","Донецкая","Донецька"
"Миргород","Миргород","Полтавская","Полтавська"
"Мирноград","Мирноград","Донецкая","Донецька"
"Миронівка","Мироновка","Киевская","Київська"
"Міусинськ",,,"Луганська"
"Могилів-Подільський","Могилёв-Подольский","Винницкая","Вінницька"
"Молодогвардійськ","Молодогвардейск","Луганская","Луганська"
"Молочанськ","Молочанск","Запорожская","Запорізька"
"Монастириська","Монастыриска","Тернопольская","Тернопільська"
"Монастирище","Монастырище","Черкасская","Черкаська"
"Моршин","Моршин","Львовская","Львівська"
"Моспине","Моспино","Донецкая","Донецька"
"Мостиська","Мостиска","Львовская","Львівська"
"Мукачево","Мукачево","Закарпатская","Закарпатська"
"Надвірна","Надворная","Ивано-Франковская","Івано-Франківська"
"Немирів","Немиров","Винницкая","Вінницька"
"Нетішин","Нетешин","Хмельницкая","Хмельницька"
"Ніжин","Нежин","Черниговская","Чернігівська"
"Нікополь","Никополь","Днепропетровская","Дніпропетровська"
"Нова Каховка","Новая Каховка","Херсонская","Херсонська"
"Нова Одеса","Новая Одесса","Николаевская","Миколаївська"
"Новгород-Сіверський","Новгород-Северский","Черниговская","Чернігівська"
"Новий Буг","Новый Буг","Николаевская","Миколаївська"
"Новий Калинів","Новый Калинов","Львовская","Львівська"
"Новий Розділ","Новый Роздол","Львовская","Львівська"
"Новоазовськ","Новоазовск","Донецкая","Донецька"
"Нововолинськ","Нововолынск","Волынская","Волинська"
"Новоград-Волинський","Новоград-Волынский","Житомирская","Житомирська"
"Новогродівка","Новогродовка","Донецкая","Донецька"
"Новодністровськ","Новоднестровск","Черновицкая","Чернівецька"
"Новодружеськ","Новодружеск","Луганская","Луганська"
"Новомиргород","Новомиргород","Кировоградская","Кіровоградська"
"Новомосковськ","Новомосковск","Днепропетровская","Дніпропетровська"
"Новоселиця","Новоселица","Черновицкая","Чернівецька"
"Новоукраїнка","Новоукраинка","Кировоградская","Кіровоградська"
"Новояворівськ","Новояворовск","Львовская","Львівська"
"Носівка","Носовка","Черниговская","Чернігівська"
"Обухів","Обухов","Киевская","Київська"
"Овруч","Овруч","Житомирская","Житомирська"
"Одеса","Одесса","Одесская","Одеська"
"Олевськ","Олевск","Житомирская","Житомирська"
"Олександрівськ","Александровск","Луганская","Луганська"
"Олександрія","Александрия","Кировоградская","Кіровоградська"
"Олешки","Алёшки","Херсонская","Херсонська"
"Оріхів","Орехов","Запорожская","Запорізька"
"Остер","Остёр","Черниговская","Чернігівська"
"Острог","Острог","Ровненская","Рівненська"
"Охтирка","Ахтырка","Сумская","Сумська"
"Очаків",,,"Миколаївська"
"Павлоград","Павлоград","Днепропетровская","Дніпропетровська"
"Первомайськ","Первомайск","Луганская","Луганська"
"Первомайськ","Первомайск","Луганская","Миколаївська"
"Первомайський","Первомайский","Харьковская","Харківська"
"Перевальськ","Перевальск","Луганская","Луганська"
"Перемишляни","Перемышляны","Львовская","Львівська"
"Перечин","Перечин","Закарпатская","Закарпатська"
"Перещепине","Перещепино","Днепропетровская","Дніпропетровська"
"Переяслав-Хмельницький","Переяслав-Хмельницкий","Киевская","Київська"
"Першотравенськ","Першотравенск","Днепропетровская","Дніпропетровська"
"Петрово-Красносілля","Петрово-Красноселье","Луганская","Луганська"
"Пирятин","Пирятин","Полтавская","Полтавська"
"Південне","Пивденное","Харьковская","Харківська"
"Підгайці","Подгайцы","Тернопольская","Тернопільська"
"Підгородне","Подгородное","Днепропетровская","Дніпропетровська"
"Погребище","Погребище","Винницкая","Вінницька"
"Подільськ","Подольск","Одесская","Одеська"
"Покров","Покров","Днепропетровская","Дніпропетровська"
"Покровськ","Покровск","Донецкая","Донецька"
"Пологи","Пологи","Запорожская","Запорізька"
"Полонне","Полонное","Хмельницкая","Хмельницька"
"Полтава","Полтава","Полтавская","Полтавська"
"Помічна","Помошная","Кировоградская","Кіровоградська"
"Попасна","Попасная","Луганская","Луганська"
"Почаїв","Почаев","Тернопольская","Тернопільська"
"Привілля","Приволье","Луганская","Луганська"
"Прилуки","Прилуки","Черниговская","Чернігівська"
"Приморськ","Приморск","Запорожская","Запорізька"
"Прип'ять",,,"Київська"
"Пустомити","Пустомыты","Львовская","Львівська"
"Путивль","Путивль","Сумская","Сумська"
"П'ятихатки",,,"Дніпропетровська"
"Рава-Руська","Рава-Русская","Львовская","Львівська"
"Радехів","Радехов","Львовская","Львівська"
"Радивилів","Радивилов","Ровненская","Рівненська"
"Радомишль","Радомышль","Житомирская","Житомирська"
"Рахів","Рахов","Закарпатская","Закарпатська"
"Рені","Рени","Одесская","Одеська"
"Решетилівка","Решетиловка","Полтавская","Полтавська"
"Ржищів","Ржищев","Киевская","Київська"
"Рівне","Ровно","Ровненская","Рівненська"
"Ровеньки","Ровеньки","Луганская","Луганська"
"Рогатин","Рогатин","Ивано-Франковская","Івано-Франківська"
"Родинське","Родинское","Донецкая","Донецька"
"Рожище","Рожище","Волынская","Волинська"
"Роздільна","Раздельная","Одесская","Одеська"
"Ромни","Ромны","Сумская","Сумська"
"Рубіжне","Рубежное","Луганская","Луганська"
"Рудки","Рудки","Львовская","Львівська"
"Саки","Саки","AР Крым","AР Крим"
"Самбір","Самбор","Львовская","Львівська"
"Сарни","Сарны","Ровненская","Рівненська"
"Свалява","Свалява","Закарпатская","Закарпатська"
"Сватове","Сватово","Луганская","Луганська"
"Світловодськ","Светловодск","Кировоградская","Кіровоградська"
"Світлодарськ","Светлодарск","Донецкая","Донецька"
"Святогірськ","Святогорск","Донецкая","Донецька"
"Севастополь","Севастополь","Севастополь","Севастополь"
"Селидове","Селидово","Донецкая","Донецька"
"Семенівка","Семёновка","Черниговская","Чернігівська"
"Середина-Буда","Середина-Буда","Сумская","Сумська"
"Сєвєродонецьк","Северодонецк","Луганская","Луганська"
"Синельникове","Синельниково","Днепропетровская","Дніпропетровська"
"Сіверськ","Северск","Донецкая","Донецька"
"Сімферополь","Симферополь","AР Крым","AР Крим"
"Скадовськ","Скадовск","Херсонская","Херсонська"
"Скалат","Скалат","Тернопольская","Тернопільська"
"Сквира","Сквира","Киевская","Київська"
"Сколе","Сколе","Львовская","Львівська"
"Славута","Славута","Хмельницкая","Хмельницька"
"Славутич","Славутич","Киевская","Київська"
"Слов'янськ",,,"Донецька"
"Сміла","Смела","Черкасская","Черкаська"
"Снігурівка","Снигирёвка","Николаевская","Миколаївська"
"Сніжне","Снежное","Донецкая","Донецька"
"Сновськ","Сновск","Черниговская","Чернігівська"
"Снятин","Снятын","Ивано-Франковская","Івано-Франківська"
"Сокаль","Сокаль","Львовская","Львівська"
"Сокиряни","Сокиряны","Черновицкая","Чернівецька"
"Соледар","Соледар","Донецкая","Донецька"
"Сорокине","Сорокино","Луганская","Луганська"
"Соснівка","укр.","Львовская","Львівська"
"Старий Крим","Старый Крым","AР Крым","AР Крим"
"Старий Самбір","Старый Самбор","Львовская","Львівська"
"Старобільськ","Старобельск","Луганская","Луганська"
"Старокостянтинів","Староконстантинов","Хмельницкая","Хмельницька"
"Стебник","Стебник","Львовская","Львівська"
"Сторожинець","Сторожинец","Черновицкая","Чернівецька"
"Стрий","Стрый","Львовская","Львівська"
"Судак","Судак","AР Крым","AР Крим"
"Судова Вишня","Судовая Вишня","Львовская","Львівська"
"Суми","Сумы","Сумская","Сумська"
"Суходільськ","Суходольск","Луганская","Луганська"
"Таврійськ","Таврийск","Херсонская","Херсонська"
"Тальне","Тальное","Черкасская","Черкаська"
"Тараща","Тараща","Киевская","Київська"
"Татарбунари","Татарбунары","Одесская","Одеська"
"Теплодар","Теплодар","Одесская","Одеська"
"Теребовля","Теребовля","Тернопольская","Тернопільська"
"Тернівка","Терновка","Днепропетровская","Дніпропетровська"
"Тернопіль","Тернополь","Тернопольская","Тернопільська"
"Тетіїв","Тетиев","Киевская","Київська"
"Тисмениця","Тысменица","Ивано-Франковская","Івано-Франківська"
"Тлумач","Тлумач","Ивано-Франковская","Івано-Франківська"
"Токмак","Токмак","Запорожская","Запорізька"
"Торецьк","Торецк","Донецкая","Донецька"
"Тростянець","Тростянец","Сумская","Сумська"
"Трускавець","Трускавец","Львовская","Львівська"
"Тульчин","Тульчин","Винницкая","Вінницька"
"Турка","Турка","Львовская","Львівська"
"Тячів","Тячев","Закарпатская","Закарпатська"
"Угнів","Угнев","Львовская","Львівська"
"Ужгород","Ужгород","Закарпатская","Закарпатська"
"Узин","Узин","Киевская","Київська"
"Українка","Украинка","Киевская","Київська"
"Українськ","Украинск","Донецкая","Донецька"
"Умань","Умань","Черкасская","Черкаська"
"Устилуг","Устилуг","Волынская","Волинська"
"Фастів","Фастов","Киевская","Київська"
"Феодосія","Феодосия","AР Крым","AР Крим"
"Харків","Харьков","Харьковская","Харківська"
"Харцизьк","Харцызск","Донецкая","Донецька"
"Херсон","Херсон","Херсонская","Херсонська"
"Хирів","Хыров","Львовская","Львівська"
"Хмельницький","Хмельницкий","Хмельницкая","Хмельницька"
"Хмільник","Хмельник","Винницкая","Вінницька"
"Ходорів","Ходоров","Львовская","Львівська"
"Хорол","Хорол","Полтавская","Полтавська"
"Хоростків","Хоростков","Тернопольская","Тернопільська"
"Хотин","Хотин","Черновицкая","Чернівецька"
"Хрестівка","Крестовка","Донецкая","Донецька"
"Христинівка","Христиновка","Черкасская","Черкаська"
"Хрустальний","Хрустальный","Луганская","Луганська"
"Хуст","Хуст","Закарпатская","Закарпатська"
"Часів Яр","Часов Яр","Донецкая","Донецька"
"Червоноград","Червоноград","Львовская","Львівська"
"Черкаси","Черкассы","Черкасская","Черкаська"
"Чернівці","Черновцы","Черновицкая","Чернівецька"
"Чернігів","Чернигов","Черниговская","Чернігівська"
"Чигирин","Чигирин","Черкасская","Черкаська"
"Чистякове","Чистяково","Донецкая","Донецька"
"Чоп","Чоп","Закарпатская","Закарпатська"
"Чорнобиль","Чернобыль","Киевская","Київська"
"Чорноморськ","Черноморск","Одесская","Одеська"
"Чортків","Чортков","Тернопольская","Тернопільська"
"Чугуїв","Чугуев","Харьковская","Харківська"
"Чуднів","Чуднов","Житомирская","Житомирська"
"Шаргород","Шаргород","Винницкая","Вінницька"
"Шахтарськ","Шахтёрск","Донецкая","Донецька"
"Шепетівка","Шепетовка","Хмельницкая","Хмельницька"
"Шостка","Шостка","Сумская","Сумська"
"Шпола","Шпола","Черкасская","Черкаська"
"Шумськ","Шумск","Тернопольская","Тернопільська"
"Щастя","Счастье","Луганская","Луганська"
"Щолкіне","Щёлкино","AР Крым","AР Крим"
"Южне","Южное","Одесская","Одеська"
"Южноукраїнськ","Южноукраинск","Николаевская","Миколаївська"
"Яворів","Яворов","Львовская","Львівська"
"Яготин","Яготин","Киевская","Київська"
"Ялта","Ялта","AР Крым","AР Крим"
"Ямпіль","Ямполь","Винницкая","Вінницька"
"Яремче","Яремче","Ивано-Франковская","Івано-Франківська"
"Ясинувата","Ясиноватая","Донецкая","Донецька"